protocol	producers	payload_bytes	messages	repetition	delivered	dropped_or_failed	wall_ms	msg_per_second	p50_us	p95_us	p99_us	cpu_ms	go_runtime_sys_kib	rss_kib	result
stream-framed	8	64	16000	1	16000	0	12.404	1289893.5	760.083	1793.250	2251.708	53.101	25430	9560	pass
stream-framed	8	64	16000	2	16000	0	12.215	1309905.1	766.458	1642.292	2230.750	52.510	25430	10196	pass
stream-framed	8	64	16000	3	16000	0	11.973	1336284.3	701.333	2009.500	2507.125	50.014	25430	10352	pass
stream-framed	8	1024	16000	1	16000	0	33.956	471199.2	452.084	1943.375	3009.916	103.995	25430	10288	pass
stream-framed	8	1024	16000	2	16000	0	34.540	463235.0	458.250	2365.334	3794.833	101.155	25430	10296	pass
stream-framed	8	1024	16000	3	16000	0	34.150	468520.7	463.542	2537.334	3267.541	106.669	25430	9872	pass
stream-framed	8	8192	4000	1	4000	0	50.943	78518.7	540.542	3429.041	4934.084	133.647	25430	10064	pass
stream-framed	8	8192	4000	2	4000	0	46.565	85901.1	657.916	3758.542	5115.167	119.181	25430	9824	pass
stream-framed	8	8192	4000	3	4000	0	47.793	83695.0	710.000	3836.042	5282.042	122.319	25430	10560	pass
stream-framed	32	64	64000	1	64000	0	47.308	1352845.1	2938.000	8845.167	12390.375	223.180	25430	10116	pass
stream-framed	32	64	64000	2	64000	0	45.576	1404247.8	2475.500	9001.125	13596.333	200.906	25430	10648	pass
stream-framed	32	64	64000	3	64000	0	46.418	1378769.3	2142.959	8440.625	11674.833	201.263	25430	10360	pass
stream-framed	32	1024	64000	1	64000	0	146.266	437557.6	705.625	10934.000	17406.209	470.561	25430	10416	pass
stream-framed	32	1024	64000	2	64000	0	143.933	444651.2	690.458	11090.625	19154.583	461.481	25430	9892	pass
stream-framed	32	1024	64000	3	64000	0	142.545	448981.5	531.209	10570.625	16073.958	439.634	25430	9872	pass
stream-framed	32	8192	16000	1	16000	0	215.147	74367.8	3995.917	16495.666	25261.000	546.789	25430	9752	pass
stream-framed	32	8192	16000	2	16000	0	211.911	75503.2	3951.833	16553.875	25721.834	534.730	25430	10836	pass
stream-framed	32	8192	16000	3	16000	0	213.965	74778.7	3881.584	15974.875	24112.625	543.190	25430	10624	pass
datagram-line	1	64	2000	1	2000	0	4.230	472799.3	9.333	18.334	22.750	3.929	25430	10628	pass
datagram-line	1	64	2000	2	2000	0	4.295	465698.4	9.042	18.083	21.667	3.245	25430	10628	pass
datagram-line	1	64	2000	3	2000	0	4.503	444115.4	8.916	18.458	51.541	4.406	25430	9352	pass
datagram-line	1	1024	2000	1	2000	0	6.066	329699.8	10.750	35.375	111.042	8.171	25430	9696	pass
datagram-line	1	1024	2000	2	2000	0	4.559	438684.7	10.875	30.916	101.750	7.099	25430	10120	pass
datagram-line	1	1024	2000	3	2000	0	4.471	447360.5	12.000	44.458	79.041	8.049	25430	10160	pass
datagram-line	1	8192	500	1	500	0	5.139	97299.9	32.875	150.458	205.667	8.171	25430	10040	pass
datagram-line	1	8192	500	2	500	0	5.522	90554.4	32.375	209.791	315.750	9.245	25430	9916	pass
datagram-line	1	8192	500	3	500	0	3.986	125428.6	23.584	159.000	214.792	8.257	25430	9828	pass
datagram-line	8	64	16000	1	16000	0	36.220	441741.3	20.292	125.792	257.083	126.788	25430	9580	pass
datagram-line	8	64	16000	2	16000	0	36.154	442554.4	19.542	120.292	257.708	124.971	25430	10120	pass
datagram-line	8	64	16000	3	16000	0	36.248	441406.7	20.166	118.875	248.166	125.853	25430	9956	pass
datagram-line	8	1024	16000	1	16000	0	49.295	324576.8	24.375	181.167	347.875	157.603	25430	10788	pass
datagram-line	8	1024	16000	2	16000	0	51.146	312829.2	24.709	182.625	367.625	160.781	25430	10212	pass
datagram-line	8	1024	16000	3	16000	0	47.147	339364.7	23.583	171.792	353.708	155.374	25430	10572	pass
datagram-line	8	8192	4000	1	4000	0	44.103	90695.8	132.083	561.292	814.333	121.666	25430	10132	pass
datagram-line	8	8192	4000	2	4000	0	46.848	85381.8	139.375	564.583	857.209	129.491	25430	10196	pass
datagram-line	8	8192	4000	3	4000	0	46.352	86296.0	138.459	552.208	863.209	129.340	25430	9596	pass
datagram-line	32	64	64000	1	64000	0	158.724	403215.2	32.500	405.958	706.542	684.991	25430	10284	pass
datagram-line	32	64	64000	2	64000	0	151.487	422478.4	28.333	378.834	698.333	603.122	25430	10260	pass
datagram-line	32	64	64000	3	64000	0	152.267	420313.7	31.125	387.250	681.042	652.598	25430	10276	pass
datagram-line	32	1024	64000	1	64000	0	221.894	288426.1	43.000	590.542	1002.083	867.812	25430	10516	pass
datagram-line	32	1024	64000	2	64000	0	214.228	298747.5	39.209	579.125	979.625	827.653	25430	10852	pass
datagram-line	32	1024	64000	3	64000	0	222.849	287189.4	41.167	588.792	1011.541	869.119	25430	10372	pass
datagram-line	32	8192	16000	1	16000	0	207.677	77042.6	250.166	1912.250	3152.208	651.755	25430	10188	pass
datagram-line	32	8192	16000	2	16000	0	234.832	68133.9	279.000	2219.166	3662.083	736.962	25430	9608	pass
datagram-line	32	8192	16000	3	16000	0	231.470	69123.3	284.458	2142.666	3552.000	738.442	25430	10304	pass
