protocol	producers	payload_bytes	messages	repetition	delivered	dropped_or_failed	wall_ms	msg_per_second	p50_us	p95_us	p99_us	cpu_ms	rss_kib	result
stream-framed	1	8192	500	3	500	0	7.971	62725.4	109.683	496.261	651.091	13.817	34390	pass
stream-framed	8	64	16000	1	16000	0	21.620	740067.9	736.045	2838.893	3587.623	114.277	34390	pass
stream-framed	8	64	16000	2	16000	0	18.981	842927.2	934.744	2720.206	4887.355	117.458	34390	pass
stream-framed	8	64	16000	3	16000	0	20.736	771599.1	881.819	4314.519	5418.918	124.873	34390	pass
stream-framed	8	1024	16000	1	16000	0	81.969	195194.6	634.524	6397.644	10521.072	232.827	34390	pass
stream-framed	8	1024	16000	2	16000	0	65.936	242661.3	454.181	5034.717	6992.128	196.990	34390	pass
stream-framed	8	1024	16000	3	16000	0	143.593	111426.1	1627.281	11732.410	18415.377	635.306	34390	pass
stream-framed	8	8192	4000	1	4000	0	176.010	22726.0	1941.943	14146.683	18686.623	435.949	34390	pass
stream-framed	8	8192	4000	2	4000	0	242.534	16492.5	2847.819	19102.196	26688.258	693.371	34390	pass
stream-framed	8	8192	4000	3	4000	0	112.802	35460.2	898.225	9121.478	12213.415	217.327	34390	pass
stream-framed	32	64	64000	1	64000	0	121.896	525038.8	2057.495	27016.196	61062.122	838.474	34390	pass
stream-framed	32	64	64000	2	64000	0	71.481	895343.4	1227.417	18704.675	32953.014	480.538	34390	pass
stream-framed	32	64	64000	3	64000	0	79.244	807630.0	1001.751	17398.917	25661.734	471.989	34390	pass
stream-framed	32	1024	64000	1	64000	0	381.179	167900.3	1057.747	36608.979	82187.572	1276.609	34390	pass
stream-framed	32	1024	64000	2	64000	0	286.115	223686.1	767.866	23443.231	44003.964	818.933	34390	pass
stream-framed	32	1024	64000	3	64000	0	457.963	139749.4	1589.571	38930.903	68342.680	1757.399	34390	pass
stream-framed	32	8192	16000	1	16000	0	1078.599	14834.1	14777.191	82960.843	123561.075	3112.243	34390	pass
stream-framed	32	8192	16000	2	16000	0	1054.205	15177.3	20077.217	83425.486	121207.057	2929.709	34390	pass
stream-framed	32	8192	16000	3	16000	0	955.726	16741.2	13989.706	74507.206	111960.416	2663.542	34390	pass
datagram-line	1	64	2000	1	2000	0	19.263	103823.4	26.105	101.756	176.339	39.342	34390	pass
datagram-line	1	64	2000	2	2000	0	13.534	147781.0	26.358	80.686	109.170	26.623	34390	pass
datagram-line	1	64	2000	3	2000	0	11.093	180294.1	8.234	55.612	183.335	25.140	34390	pass
datagram-line	1	1024	2000	1	2000	0	11.258	177654.3	10.627	56.584	162.585	25.250	34390	pass
datagram-line	1	1024	2000	2	2000	0	8.094	247109.2	6.096	53.600	126.979	15.157	34390	pass
datagram-line	1	1024	2000	3	2000	0	9.338	214171.8	12.575	67.573	97.902	16.779	34390	pass
datagram-line	1	8192	500	1	500	0	6.232	80229.4	33.974	180.773	265.875	12.199	34390	pass
datagram-line	1	8192	500	2	500	0	8.848	56512.0	44.469	318.399	837.458	14.956	34390	pass
datagram-line	1	8192	500	3	500	0	6.009	83203.8	41.836	230.798	430.856	14.591	34390	pass
datagram-line	8	64	16000	1	16000	0	57.852	276568.5	37.630	156.284	293.421	268.592	34390	pass
datagram-line	8	64	16000	2	16000	0	54.667	292680.7	36.985	151.763	287.617	261.476	34390	pass
datagram-line	8	64	16000	3	16000	0	53.527	298914.1	36.284	145.968	288.057	248.772	34390	pass
datagram-line	8	1024	16000	1	16000	0	98.782	161972.1	53.890	314.287	843.528	418.286	34390	pass
datagram-line	8	1024	16000	2	16000	0	89.507	178756.4	59.204	303.398	598.372	415.220	34390	pass
datagram-line	8	1024	16000	3	16000	0	116.730	137069.0	61.608	407.676	1177.879	487.202	34390	pass
datagram-line	8	8192	4000	1	4000	0	79.339	50416.5	211.436	1133.459	1709.348	226.294	34390	pass
datagram-line	8	8192	4000	2	4000	0	78.629	50871.5	198.157	1307.814	2047.420	213.564	34390	pass
datagram-line	8	8192	4000	3	4000	0	106.546	37542.5	234.034	1765.256	2822.529	335.577	34390	pass
datagram-line	32	64	64000	1	64000	0	286.372	223485.5	59.141	667.295	1435.168	1628.258	34390	pass
datagram-line	32	64	64000	2	64000	0	298.835	214165.1	63.581	718.676	1526.324	1702.046	34390	pass
datagram-line	32	64	64000	3	64000	0	271.567	235669.3	51.368	630.935	1279.812	1467.777	34390	pass
datagram-line	32	1024	64000	1	64000	0	395.984	161622.7	90.916	996.678	1936.592	1984.204	34390	pass
datagram-line	32	1024	64000	2	64000	0	420.421	152228.5	100.770	1058.129	2213.934	2124.021	34390	pass
datagram-line	32	1024	64000	3	64000	0	415.727	153947.1	109.571	1003.509	1972.625	2150.453	34390	pass
datagram-line	32	8192	16000	1	16000	0	447.460	35757.3	689.988	3893.312	6603.661	1370.864	34390	pass
datagram-line	32	8192	16000	2	16000	0	595.439	26870.9	849.155	5481.640	10650.275	2030.832	34390	pass
datagram-line	32	8192	16000	3	16000	0	527.087	30355.5	691.319	4962.754	9097.327	1679.938	34390	pass
