filesystem	strategy	interval_ms	file_bytes	repetition	updates	observed	missed	p50_ms	p95_ms	p99_ms	max_ms	wall_ms	cpu_ms	cpu_percent	reads	parse_errors	watch_invalidations	queue_overflows
layer	inotify	1s	4096	1	30	30	0	0.804	1.631	1.805	1.854	28.345	36.128	127.457	63	0	0	0
layer	inotify	1s	4096	2	30	30	0	0.756	0.975	0.983	2.261	26.037	33.390	128.240	59	0	0	0
layer	inotify	1s	4096	3	30	30	0	0.676	0.999	1.213	1.311	22.344	31.035	138.895	70	0	0	0
layer	inotify	1s	1048576	1	5	5	0	14.787	17.871	17.871	23.350	79.916	115.277	144.246	9	0	0	0
layer	inotify	1s	1048576	2	5	5	0	11.888	20.984	20.984	23.770	74.534	105.641	141.735	9	0	0	0
layer	inotify	1s	1048576	3	5	5	0	19.514	20.305	20.305	22.507	86.704	125.220	144.421	9	0	0	0
layer	hybrid	100ms	128	1	30	30	0	0.652	0.844	1.141	1.270	20.395	29.513	144.707	80	0	0	0
layer	hybrid	100ms	128	2	30	30	0	0.294	0.793	3.418	6.018	18.928	16.077	84.937	81	0	0	0
layer	hybrid	100ms	128	3	30	30	0	0.663	0.796	0.809	1.145	20.426	28.723	140.618	72	0	0	0
layer	hybrid	100ms	4096	1	30	30	0	0.831	1.363	1.381	1.516	28.245	36.536	129.350	63	0	0	0
layer	hybrid	100ms	4096	2	30	30	0	0.691	0.976	0.977	1.294	22.798	34.168	149.868	64	0	0	0
layer	hybrid	100ms	4096	3	30	30	0	0.340	0.624	0.639	0.681	11.885	16.824	141.553	62	0	0	0
layer	hybrid	100ms	1048576	1	5	5	0	13.799	16.949	16.949	19.106	71.845	102.658	142.888	10	0	0	0
layer	hybrid	100ms	1048576	2	5	5	0	9.687	12.664	12.664	14.219	50.052	66.972	133.803	9	0	0	0
layer	hybrid	100ms	1048576	3	5	5	0	14.117	17.276	17.276	26.962	78.032	111.300	142.633	10	0	0	0
layer	hybrid	1s	128	1	30	30	0	0.732	1.009	1.349	1.901	23.811	32.649	137.114	78	0	0	0
layer	hybrid	1s	128	2	30	30	0	0.219	0.314	0.360	0.396	7.257	10.633	146.505	84	0	0	0
layer	hybrid	1s	128	3	30	30	0	0.437	0.852	0.894	1.465	14.999	20.096	133.980	75	0	0	0
layer	hybrid	1s	4096	1	30	30	0	0.187	0.468	0.531	0.544	7.286	8.571	117.630	73	0	0	0
layer	hybrid	1s	4096	2	30	30	0	0.443	0.907	1.518	1.608	16.834	20.910	124.208	72	0	0	0
layer	hybrid	1s	4096	3	30	30	0	0.807	0.979	1.672	2.028	26.204	34.863	133.044	62	0	0	0
layer	hybrid	1s	1048576	1	5	5	0	15.113	15.759	15.759	20.399	74.188	110.761	149.297	9	0	0	0
layer	hybrid	1s	1048576	2	5	5	0	14.034	18.254	18.254	24.765	76.506	104.131	136.108	9	0	0	0
layer	hybrid	1s	1048576	3	5	5	0	12.736	18.182	18.182	22.083	72.833	105.723	145.156	9	0	0	0
tmpfs	poll	10ms	128	1	30	30	0	9.990	10.914	11.023	11.766	291.452	18.293	6.276	30	0	0	0
tmpfs	poll	10ms	128	2	30	30	0	9.977	10.516	10.715	11.499	292.796	21.369	7.298	30	0	0	0
tmpfs	poll	10ms	128	3	30	30	0	9.944	11.619	11.850	11.981	292.834	20.862	7.124	30	0	0	0
tmpfs	poll	10ms	4096	1	30	30	0	9.977	10.822	11.255	11.601	291.400	18.141	6.225	30	0	0	0
tmpfs	poll	10ms	4096	2	30	30	0	9.975	10.206	10.374	11.003	291.207	19.812	6.803	30	0	0	0
tmpfs	poll	10ms	4096	3	30	30	0	9.955	11.100	11.993	14.871	291.893	18.847	6.457	30	0	0	0
tmpfs	poll	10ms	1048576	1	5	5	0	23.349	23.927	23.927	25.726	97.684	123.612	126.542	8	0	0	0
tmpfs	poll	10ms	1048576	2	5	5	0	13.802	15.906	15.906	27.361	78.358	83.295	106.299	7	0	0	0
tmpfs	poll	10ms	1048576	3	5	5	0	19.643	20.581	20.581	23.504	86.228	91.852	106.522	8	0	0	0
tmpfs	poll	100ms	128	1	30	30	0	99.981	100.127	100.205	101.826	2901.628	20.960	0.722	30	0	0	0
tmpfs	poll	100ms	128	2	30	30	0	99.982	100.223	100.443	100.754	2901.623	21.356	0.736	30	0	0	0
tmpfs	poll	100ms	128	3	30	30	0	99.994	100.138	100.581	101.677	2901.342	20.640	0.711	30	0	0	0
tmpfs	poll	100ms	4096	1	30	30	0	99.929	102.179	102.221	102.317	2901.204	26.449	0.912	30	0	0	0
tmpfs	poll	100ms	4096	2	30	30	0	99.966	100.335	100.852	101.809	2901.902	23.248	0.801	30	0	0	0
tmpfs	poll	100ms	4096	3	30	30	0	99.997	100.227	100.400	100.556	2901.043	23.548	0.812	30	0	0	0
tmpfs	poll	100ms	1048576	1	5	5	0	103.314	105.256	105.256	110.497	519.343	56.385	10.857	5	0	0	0
tmpfs	poll	100ms	1048576	2	5	5	0	102.270	110.793	110.793	126.656	518.433	113.936	21.977	5	0	0	0
tmpfs	poll	100ms	1048576	3	5	5	0	110.044	112.749	112.749	115.966	516.630	103.950	20.121	5	0	0	0
tmpfs	inotify	1s	128	1	30	30	0	0.284	0.472	0.480	1.260	11.330	15.466	136.498	56	0	0	0
tmpfs	inotify	1s	128	2	30	30	0	0.291	0.870	0.949	1.410	12.099	14.269	117.932	57	0	0	0
tmpfs	inotify	1s	128	3	30	30	0	0.394	0.472	0.481	1.762	13.980	19.561	139.913	59	0	0	0
tmpfs	inotify	1s	4096	1	30	30	0	0.540	1.001	1.147	1.322	19.640	23.137	117.800	45	0	0	0
tmpfs	inotify	1s	4096	2	30	30	0	0.483	1.070	1.140	1.551	18.135	21.726	119.796	54	0	0	0
tmpfs	inotify	1s	4096	3	30	30	0	0.376	0.618	0.846	1.239	13.696	17.673	129.035	60	0	0	0
tmpfs	inotify	1s	1048576	1	5	5	0	11.300	11.991	11.991	14.024	54.329	69.100	127.186	9	0	0	0
tmpfs	inotify	1s	1048576	2	5	5	0	16.402	18.248	18.248	21.139	74.188	101.761	137.166	9	0	0	0
tmpfs	inotify	1s	1048576	3	5	5	0	18.031	24.601	24.601	25.670	98.509	131.766	133.759	9	0	0	0
tmpfs	hybrid	100ms	128	1	30	30	0	0.125	0.265	0.282	1.046	5.577	6.883	123.401	59	0	0	0
tmpfs	hybrid	100ms	128	2	30	30	0	0.269	0.413	0.468	1.419	10.460	13.952	133.377	57	0	0	0
tmpfs	hybrid	100ms	128	3	30	30	0	0.100	0.143	0.160	0.963	4.085	4.861	118.991	58	0	0	0
tmpfs	hybrid	100ms	4096	1	30	30	0	0.464	1.189	1.364	1.393	18.756	19.466	103.783	48	0	0	0
tmpfs	hybrid	100ms	4096	2	30	30	0	0.251	0.576	0.665	1.009	9.756	12.602	129.171	52	0	0	0
tmpfs	hybrid	100ms	4096	3	30	30	0	0.509	0.741	1.001	1.931	18.505	21.669	117.097	59	0	0	0
tmpfs	hybrid	100ms	1048576	1	5	5	0	9.140	11.147	11.147	20.042	56.991	78.722	138.128	10	0	0	0
tmpfs	hybrid	100ms	1048576	2	5	5	0	11.732	13.348	13.348	18.139	62.321	81.297	130.447	10	0	0	0
tmpfs	hybrid	100ms	1048576	3	5	5	0	10.758	16.282	16.282	17.795	61.403	81.353	132.489	10	0	0	0
tmpfs	hybrid	1s	128	1	30	30	0	0.439	0.729	0.748	1.010	15.279	20.343	133.139	59	0	0	0
tmpfs	hybrid	1s	128	2	30	30	0	0.285	0.590	0.826	0.998	11.105	16.150	145.428	65	0	0	0
tmpfs	hybrid	1s	128	3	30	30	0	0.404	0.469	0.481	1.358	13.486	18.347	136.035	59	0	0	0
tmpfs	hybrid	1s	4096	1	30	30	0	0.488	1.023	1.152	1.321	17.485	22.768	130.209	57	0	0	0
tmpfs	hybrid	1s	4096	2	30	30	0	0.460	1.089	1.252	1.261	17.383	20.874	120.080	49	0	0	0
tmpfs	hybrid	1s	4096	3	30	30	0	0.490	1.138	1.166	1.997	18.661	21.369	114.506	44	0	0	0
tmpfs	hybrid	1s	1048576	1	5	5	0	9.267	9.736	9.736	10.916	44.628	53.714	120.358	9	0	0	0
tmpfs	hybrid	1s	1048576	2	5	5	0	10.919	12.189	12.189	15.845	59.981	79.279	132.173	9	0	0	0
tmpfs	hybrid	1s	1048576	3	5	5	0	14.016	18.359	18.359	18.978	75.773	95.264	125.721	9	0	0	0
volume	poll	10ms	128	1	30	30	0	9.977	11.079	11.663	12.069	293.743	31.838	10.839	30	0	0	0
volume	poll	10ms	128	2	30	30	0	9.996	10.319	11.738	13.113	291.283	29.169	10.014	30	0	0	0
volume	poll	10ms	128	3	30	30	0	9.946	11.780	11.860	11.947	291.983	32.177	11.020	30	0	0	0
volume	poll	10ms	4096	1	30	30	0	9.957	10.326	10.943	11.394	290.887	30.808	10.591	30	0	0	0
volume	poll	10ms	4096	2	30	30	0	9.988	11.890	11.923	12.073	293.797	33.156	11.285	30	0	0	0
volume	poll	10ms	4096	3	30	30	0	9.971	10.164	10.775	11.339	301.244	34.305	11.388	30	0	0	0
volume	poll	10ms	1048576	1	5	5	0	13.394	20.256	20.256	24.721	78.135	94.687	121.182	7	0	0	0
volume	poll	10ms	1048576	2	5	5	0	18.169	19.565	19.565	20.278	76.981	95.394	123.918	7	0	0	0
volume	poll	10ms	1048576	3	5	5	0	15.093	20.488	20.488	25.894	86.516	100.275	115.903	8	0	0	0
volume	poll	100ms	128	1	30	30	0	99.998	101.747	101.797	101.887	2901.124	32.413	1.117	30	0	0	0
volume	poll	100ms	128	2	30	30	0	99.961	100.366	101.596	101.677	2901.215	32.213	1.110	30	0	0	0
volume	poll	100ms	128	3	30	30	0	99.976	100.173	100.348	101.674	2901.209	31.008	1.069	30	0	0	0
volume	poll	100ms	4096	1	30	30	0	99.983	100.175	101.669	102.735	2902.378	33.845	1.166	30	0	0	0
volume	poll	100ms	4096	2	30	30	0	99.964	101.556	101.731	102.090	2903.284	32.508	1.120	30	0	0	0
volume	poll	100ms	4096	3	30	30	0	99.979	100.937	101.010	102.071	2902.298	31.701	1.092	30	0	0	0
volume	poll	100ms	1048576	1	5	5	0	101.173	109.574	109.574	114.132	517.233	96.813	18.717	5	0	0	0
volume	poll	100ms	1048576	2	5	5	0	109.262	113.566	113.566	118.709	517.001	147.473	28.525	5	0	0	0
volume	poll	100ms	1048576	3	5	5	0	105.455	111.003	111.003	129.514	524.109	141.933	27.081	5	0	0	0
volume	inotify	1s	128	1	30	30	0	0.316	0.506	0.586	0.748	10.506	16.147	153.689	86	0	0	0
volume	inotify	1s	128	2	30	30	0	0.405	0.993	1.180	1.336	15.338	19.676	128.282	74	0	0	0
volume	inotify	1s	128	3	30	30	0	0.528	0.938	1.377	1.412	17.240	22.751	131.959	75	0	0	0
volume	inotify	1s	4096	1	30	30	0	0.287	0.594	0.687	0.990	10.372	14.381	138.643	69	0	0	0
volume	inotify	1s	4096	2	30	30	0	0.719	1.343	1.421	1.557	24.405	32.018	131.194	60	0	0	0
volume	inotify	1s	4096	3	30	29	1	0.129	0.845	0.862	0.874	3013.315	25.815	0.857	77	0	0	0
volume	inotify	1s	1048576	1	5	5	0	16.100	17.818	17.818	27.527	83.430	117.032	140.275	9	0	0	0
volume	inotify	1s	1048576	2	5	5	0	11.881	16.733	16.733	27.983	77.603	105.244	135.618	9	0	0	0
volume	inotify	1s	1048576	3	5	5	0	22.597	24.783	24.783	33.667	108.450	147.914	136.389	9	0	0	0
volume	hybrid	100ms	128	1	30	30	0	0.382	0.637	0.950	1.036	13.198	20.043	151.858	81	0	0	0
volume	hybrid	100ms	128	2	30	30	0	0.686	0.989	1.273	1.505	22.190	31.422	141.598	74	0	0	0
volume	hybrid	100ms	128	3	30	30	0	0.537	1.017	1.303	1.793	19.033	27.450	144.217	76	0	0	0
volume	hybrid	100ms	4096	1	30	30	0	0.532	0.744	0.751	2.355	18.390	24.631	133.930	65	0	0	0
volume	hybrid	100ms	4096	2	30	30	0	0.362	1.323	1.426	1.471	16.495	21.076	127.772	75	0	0	0
volume	hybrid	100ms	4096	3	30	30	0	0.378	0.476	0.718	0.985	12.880	18.777	145.780	65	0	0	0
volume	hybrid	100ms	1048576	1	5	5	0	18.966	24.209	24.209	25.616	88.908	125.366	141.006	10	0	0	0
volume	hybrid	100ms	1048576	2	5	5	0	16.581	21.149	21.149	34.000	94.232	133.091	141.236	10	0	0	0
volume	hybrid	100ms	1048576	3	5	5	0	15.190	16.187	16.187	19.130	80.200	113.555	141.589	10	0	0	0
volume	hybrid	1s	128	1	30	30	0	0.523	0.824	0.964	1.205	17.727	26.121	147.346	75	0	0	0
volume	hybrid	1s	128	2	30	30	0	0.541	1.384	1.548	2.072	20.165	29.004	143.829	71	0	0	0
volume	hybrid	1s	128	3	30	30	0	0.501	0.694	0.744	0.939	16.476	25.174	152.790	75	0	0	0
volume	hybrid	1s	4096	1	30	30	0	0.413	0.781	1.058	1.188	15.275	21.810	142.779	66	0	0	0
volume	hybrid	1s	4096	2	30	30	0	0.623	0.727	1.274	1.787	21.046	30.418	144.525	60	0	0	0
volume	hybrid	1s	4096	3	30	30	0	0.366	1.021	1.273	1.357	14.592	17.681	121.168	67	0	0	0
volume	hybrid	1s	1048576	1	5	5	0	13.127	14.616	14.616	22.766	69.744	95.996	137.640	9	0	0	0
volume	hybrid	1s	1048576	2	5	5	0	14.115	19.087	19.087	21.971	77.320	112.010	144.865	9	0	0	0
volume	hybrid	1s	1048576	3	5	5	0	11.872	14.192	14.192	21.757	65.712	96.363	146.644	9	0	0	0
